AEA_operator Id,PCE_utility_code,eia_operator_id,CPCN...4,Operator_name,sector__id,sector__name,sector__number,operator_rca_regulatory_status_name,operator_utility_certificate,operator__utility_type_name,operator_cpcn_status,pce_eligible,Power Generation End Use,Notes,CPCN...16,...17,...18,OPERATOR_AEA Operator ID,OPERATOR_Operator Name
AEA-092,TENAS,18541,363,"Tenakee Springs, City of",1,Electric Utility,1,Unregulated,TRUE,Public Electric Utility,Active,TRUE,Retail,NA,NA,NA,NA,NA,NA
AEA-125,NA,18617,NA,Tesoro Alaska Company LLC,4,Industrial NAICS Cogen,7,N/A,FALSE,Industrial,N/A,FALSE,Consumed by facility,NA,NA,NA,NA,NA,NA
AEA-156,NA,NA,377,Thomas Bay Power Authority,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,FALSE,Retail,NA,NA,NA,NA,NA,NA
AEA-093,TULUTPU,NA,664,Tuluksak Traditional,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,TRUE,Retail,NA,749,NA,NA,NA,NA
AEA-094,TUNTCSA,19267,344,Tuntutuliak Community,1,Electric Utility,1,Unregulated,TRUE,Electric Co-op,Active,TRUE,Retail,NA,377,NA,NA,NA,NA
AEA-095,TWINHVC,NA,729,Twin Hills Village Council,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,TRUE,Retail,NA,71,NA,NA,NA,NA
AEA-120,NA,22199,NA,U S Air Force-Eielson AFB,3,Commercial NAICS Cogen,5,N/A,FALSE,Military,N/A,FALSE,Consumed by facility,NA,59,NA,NA,NA,NA
AEA-174,NA,22200,NA,U S Army-Ft Wainwright,3,Commercial NAICS Cogen,5,N/A,FALSE,Military,N/A,FALSE,Consumed by facility,NA,760,NA,NA,NA,NA
AEA-096,UMNAP,NA,242,Umnak Power Company,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,TRUE,Retail,NA,NA,NA,NA,NA,NA
AEA-098,UNALVEC,40548,741,Unalakleet Valley Electric Cooperative,1,Electric Utility,1,Unregulated,TRUE,Electric Co-op,Active,TRUE,Retail,NA,NA,NA,NA,NA,NA
AEA-097,UNAL,19454,106,"Unalaska, City of",1,Electric Utility,1,Unregulated,TRUE,Public Electric Utility,Active,TRUE,Retail,NA,NA,NA,NA,NA,NA
AEA-099,UNGUPC,NA,375,Ungusraq Power Company,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,TRUE,Retail,NA,NA,NA,NA,NA,NA
AEA-126,NA,19553,NA,Unisea Inc,5,Industrial NAICS Non-Cogen,6,N/A,FALSE,Industrial,N/A,FALSE,Consumed by facility,NA,NA,NA,NA,NA,NA
AEA-127,NA,19511,452,University of Alaska,3,Commercial NAICS Cogen,5,Unregulated,TRUE,Industrial,Active,FALSE,Consumed by facility,NA,NA,NA,NA,NA,NA
AEA-100,VENEVE,NA,663,Venetie Village Electric,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,TRUE,Retail,NA,NA,NA,NA,NA,NA
AEA-157,NA,NA,71,Weisner Trading Co.,1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,FALSE,Retail,Rampart,NA,NA,NA,NA,NA
AEA-158,NA,NA,59,"Weldon S. Holmes, d/b/a Semloh Supply",1,Electric Utility,1,Unregulated,TRUE,Private Electric Utility,Active,FALSE,Retail,NA,NA,NA,NA,NA,NA
AEA-128,NA,20523,NA,Westward Seafoods Inc,4,Industrial NAICS Cogen,7,N/A,FALSE,Industrial,N/A,FALSE,Consumed by facility,NA,NA,NA,NA,NA,NA
AEA-101,WHITMU,20535,409,"White Mountain, City of",1,Electric Utility,1,Unregulated,TRUE,Public Electric Utility,Active,TRUE,Retail,NA,NA,NA,NA,NA,NA
AEA-135,NA,21015,111,"Wrangell, City of",1,Electric Utility,1,NA,TRUE,Public Electric Utility,Active,FALSE,Retail,NA,NA,NA,NA,NA,NA
AEA-102,YAKUP,30150,53,Yakutat Power Inc,1,Electric Utility,1,Regulated,TRUE,Public Electric Utility,Inactive,FALSE,Retail,NA,NA,NA,NA,NA,NA
