Data element,Description
Commercial $/kWh,"Average revenue per kWh for commercial customers, calculated as Commercial Revenue $000 / Commercial Sales MWh. For PCE data, Commercial $/kWh equals the residential rate, which is the reported data, and is used to calculate revenue."
Other Revenue $000,"Revenue from sales to other customers, in thousands of dollars. For EIA data, ""Other"" equals the sum of reported ""Industrial"" plus ""Transportation"" categories. For PCE data, ""Other"" equals the sum of reported ""Community Facilities"" and ""Government"" categories. For EIA data, Other revenues are reported directly. For PCE data, the residential rate is utilized to estimate other revenue, calculated as Other Sales x Residential $/kWh"
Other Sales MWh,"Sales to other customers, in megawatt-hours (MWh)"
Other Customers,The average of the 12 monthly close-of-month other customer counts.
Other $/kWh,"Average revenue per kWh, calculated as Other Revenue $000 / Other Sales MWh. (For PCE data, Other $/kWh equals the residential rate, which is the reported data, and is used to calculate revenue.)"
Total Revenue $000,"Total revenue from sales to all retail customers, in thousands of dollars."
Total Sales MWh,"Total sales to retail customers, in megawatt-hours (MWh)"
Total Customers,The sum of Residential Customers plus Commercial Customers plus Other Customers
Average Revenue $/kWh,"Average revenue per kWh sold, calculated as Total Revenue $000 / Total Sales MWh."
Data Source,Data source
EIA861,EIA Form 861 or Form 861S
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
Number of monthly records,"For PCE data only: the number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
Communities reported,"Communities included in the data for the given row, as reported by the PCE reporting entity named Reporting Name."
NA,NA
"Table 2.5b   Average Annual Energy Use and Rates by Customer Type for certificated utilities (kWh/Customer, $/Customer, $/kWh), 2021",NA
"Table 2.5b shows sales and revenues per customer and repeats the display of average revenue per kWh. The data are for certificated utilities, both those reporting on EIA Form 861 and Form 861S, and those reporting to the State of Alaska Power Cost Equalization program (PCE).",NA
AEA Sales Reporting ID,An unofficial unique identifier for all known entities that report sales to either PCE or EIA. Developed because EIA and PCE unique identifiers for sales were not compatible.
PCE ID,"Alaska Energy Authority (AEA) accounting code for PCE reporters, used as the unique identifier for PCE reporters."
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Community Name,Name of the major community asociated with the reporting utility
Intertie Name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
AEA Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Residential kWh Use Per Customer,Residential Sales MWh / Residential Customers
Residential Revenue Per Customer,Residential Revenue $000 /Residential Customers
Residential $/kWh,"Average revenue per kWh for residential customers. For EIA data, calculated as Residential Revenue $000 / Residential Sales MWh. For PCE data, equal to the reported residential rate."
Commercial kWh Use Per Customer,Commercial Sales MWh / Commercial Customers
Commercial Revenue Per Customer,Commercial Revenue $000 / Commercial Customers
Commercial $/kWh,"Average revenue per kWh for commercial customers, calculated as Commercial Revenue $000 / Commercial Sales MWh. For PCE data, Commercial $/kWh equals the residential rate, which is the reported data, and is used to calculate revenue."
Other kWh Use Per Customer,Other Sales MWh / Other Customers
Other Revenue Per Customer,Other Revenue $000 / Other Customers
Other $/kWh,"Average revenue per kWh, calculated as Other Revenue $000 / Other Sales MWh. This is the same data reported in Table 2.5a."
Data Source,Data source
EIA861,EIA Form 861 or Form 861S
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
Number of monthly records,"For PCE data only: the number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
Communities reported,Communities included in the data for the given row.
NA,NA
"Table 2.5c   Average Residential Rates and PCE Payments ($/kWh), 2021",NA
Table 2.5c shows residential rates before and after application of the PCE credit that is applied to the customer's bill for eligible kWh.,NA
AEA Sales Reporting ID,An unofficial unique identifier for all known entities that report sales to either PCE or EIA. Developed because EIA and PCE unique identifiers for sales were not compatible.
PCE ID,"Alaska Energy Authority (AEA) accounting code for PCE reporters, used as the unique identifier for PCE reporters."
RCA CPCN,Certificate of Public Convenience and Necessity (CPCN) number issued by Regulatory Commission of Alaska
Utility Name,"Unofficial unique names for utilities and/or operators that include a combination of EIA utility/operator names, PCE utility names, and/or CPCN holder names, as appropriate"
Community Name,Name of the major community asociated with the reporting utility
Intertie Name,"Unofficial unique identifiers for all known microgrids in Alaska—including ones that only include one community, plant, and/or sales reporter"
AEA Energy Region,"Regions defined by Alaska Energy Authority for regional energy planning. See map on ""Figures"" tab and descriptions under ""All tables."""
Residential $/kWh,"Average revenue per kWh for residential customers. For EIA data, calculated as Residential Revenue $000 / Residential Sales MWh. For PCE data, equal to the reported residential rate."
PCE Residential Reimbursement Rate ($/kWh),"The amount credited to a residential customer's bill for kWh that are eligible for PCE reimbursement. In 2021, the first 500 kWh per month were eligible. The limit may be different in other years. See:"
NA,https://www.akenergyauthority.org/What-We-Do/Power-Cost-Equalization
Residential Rate after PCE ($/kWh),"The effective rate paid for PCE-eligible kWh, calculated as Residential Rate minus PCE Residential Reimbursement Rate"
Percent of Residential Rate Covered by PCE Reimbursement,The percentage of the residential rate covered by PCE for PCE-eligible kWh. Calculated as PCE Residential Reimbursement Rate / Residential Rate
"PCE Community
(Y/N)",Indicates whether the community (or communities) participated in the PCE program during 2021
Data Source,NA
EIA861 / EIA861S,EIA Form 861 or Form 861S
PCE,Monthly data reported to and provided by the Alaska Energy Authority Power Cost Equalization program
CVEA,Copper Valley Electric Association
BUECI,Barrow Utilities and Electric Cooperative
Number of monthly records,"For PCE data only: the number of monthly records used to tabulate the data. Where there are less than 12 months of data, the reported amount in the table may be simply the sum of the available monthly data. There is no imputation of data to missing months."
Communities reported,Communities included in the data for the given row.
