Bradley Lake generation - Reporting to EIA is based on ownership of the generating plant or who operates the plant depending on the survey form. The Alaska Energy Authority owns Bradley Lake; however it is operated by Homer Electric Association.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
"I-N-N Electric Coop, Inc",Newhalen,"Iliamna, Newhalen, Nondalton",84.087000000000003,0,0,0,0,6620.7960000000003,0,0,PCE,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Newhalen's information is included in Nondalton's data.",Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"I-N-N Electric Coop, Inc",Tazimina,"Iliamna, Newhalen, Nondalton",0,0,0,3566.2379999999998,0,0,0,0,PCE,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Iliamna's information is included in Nondalton's data.",Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Inside Passage Electric,Angoon,Angoon,2025.2149999999999,0,0,0,0,141021,0,0,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Chilkat Valley,Chilkat Valley,-68.440910000000002,0,0,183.54,0,0,0,0,PCE,Provides power to Klukwan via intertie. Power is purchased from AP&T.,Southeast,Haines,Sealaska,SE
Inside Passage Electric,Hoonah,Hoonah,4816.875,0,0,0,0,331185,0,0,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Kake,Kake,2769.4879999999998,0,0,0,0,213498.00000000003,0,0,PCE,0,Southeast,Petersburg (CA),Sealaska,SE
Inside Passage Electric,Klukwan,Klukwan,0,0,0,0,0,0,0,0,PCE,Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T.,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Ipnatchiaq Electric Company,Deering,Deering,336.34699999999998,NA,NA,0,0,26904,NA,NA,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Ketchikan Public Utilities,Beaver Falls,Ketchikan,0,0,0,46676,0,0,0,0,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Ketchikan,Ketchikan,0,0,0,22625,0,0,0,0,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,S W Bailey,Ketchikan,2603,0,0,0,0,294588,0,0,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Silvis,Ketchikan,0,0,0,12871,0,0,0,0,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Swan Lake,"Wrangell, Petersburg, Ketchikan",0,0,0,90502,0,0,0,0,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
"King Cove, City of",King Cove,King Cove,1712.346,0,0,3102.4639999999999,0,143977,0,0,PCE,0,Aleutians,Aleutians East,Aleut,SW
Kipnuk Light Plant,Kipnuk,Kipnuk,1583.2080000000001,0,0,0,0,154889,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kobuk Valley Electric Company,Kobuk,Kobuk,0,0,0,0,0,0,0,0,PCE,"Receives power from Shungnak via intertie. For fuel use and cost, please refer to Shungnak. On July 1, 2012, AVEC took over operations in Kobuk.",Northwest Arctic,Northwest Arctic,NANA,AN
Kodiak Electric Assn Inc,Kodiak,Kodiak,18214,0,0,0,0,1296582,0,0,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,3568,0,0,0,0,350490,0,0,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,0,0,0,0,12364,0,0,0,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Port Lions,Kodiak,70,0,0,0,0,6510,0,0,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Terror Lake,Kodiak,0,0,0,114186,0,0,0,0,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kokhanok Village Council,Kokhanok,Kokhanok,406.92200000000003,0,0,0,66.448999999999998,39090,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Kotzebue Electric Association,Kotzebue,Kotzebue,20300,0,0,0,1502.537,1417074,0,0,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
"Koyukuk, City of",Koyukuk,Koyukuk,314.14699999999999,0,0,0,0,32927,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Kwethluk Incorporated,Kwethluk,Kwethluk,1377.5930000000001,0,0,0,0,102428,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kwigillingok Power Company,Kwigillingok,Kwigillingok,1168.2660000000001,0,0,0,0,84078,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,159.17355000000001,0,0,342.38499999999999,0,14340.001200000001,0,0,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Levelock Electrical Coop,Levelock,Levelock,472.11799999999999,0,0,0,0,42434,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Lime Village Electric Utility,Lime Village,Lime Village,32.902999999999999,NA,NA,0,0,4227,NA,NA,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Manokotak Power Company,Manokotak,Manokotak,1365.7190000000001,0,0,0,0,104840,0,0,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Mcgrath Light & Power,McGrath,McGrath,2840.7040000000002,0,0,0,0,191841,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Metlakatla Power & Light,Centennial,Metlakatla,65,0,0,0,0,16212,0,0,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Metlakatla Power & Light,Chester Lake,Metlakatla,0,0,0,5129,0,0,0,0,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Metlakatla Power & Light,Purple Lake,Metlakatla,0,0,0,15040,0,0,0,0,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,220.98479999999998,0,0,0,0,25737.908999999996,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,302.6524,0,0,0,0,25305,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Red Devil,Red Devil,106.4297,0,0,0,0,13336,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Sleetmute,Sleetmute,259.13670000000002,0,0,0,0,24532,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Stony River,Stony River,128.072,0,0,0,0,14182,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naknek Electric Association,Naknek,"Naknek, King Salmon, South Naknek",19900,0,0,0,0,1319147,0,0,PCE,Provides power to South Naknek and King Salmon via intertie. Data includes South Naknek's and King Salmon's information.,Bristol Bay,Bristol Bay,Bristol Bay,SW
Napakiak Ircinraq,Napakiak,Napakiak,0,0,0,0,0,0,0,0,PCE,Purchases power from Bethel Utilities Corporation,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Napaskiak Electric Utility,Napaskiak,Napaskiak,979.45,0,0,0,0,77093,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naterkaq Light Plant,Chefornak,Chefornak,1630.624,0,0,0,0,123703,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Native Village of Perryville,Perryville,Perryville,176.43129999999999,0,0,0,15.798999999999999,14464.000000000002,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,392.2319,0,0,0,0,44500.000000000007,0,0,PCE,0,Aleutians,Aleutians East,Aleut,SW
New Koliganek Village Council,Koliganek,Koliganek,648.44000000000005,0,0,0,0,72207,0,0,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Nikolai, City of",Nikolai,Nikolai,399.21109999999999,0,0,0,0,36527,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Nome Joint Utility Systems,Snake River,Nome,33500,0,0,0,0,2109802,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,3599,0,0,0,0,278922,0,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Atqasuk,Atqasuk,3241,0,0,0,0,255318,0,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Kaktovik,Kaktovik,4550,0,0,0,0,353430,0,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,1754,1475,0,0,0,88284,10329,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Hope,Point Hope,6153,0,0,0,0,412482,0,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Lay,Point Lay,3085,0,0,0,0,283458,0,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Wainwright,Wainwright,6258,0,0,0,0,490896,0,0,EIA,0,North Slope,North Slope,Arctic Slope,AN
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,829.24900000000002,0,0,0,0,67849,0,0,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Nushagak Electric Cooperative,Dillingham,"Dillingham, Aleknagik",18800,0,0,0,0,1276725,0,0,PCE,Provides power to Aleknagik via intertie. Data includes Aleknagik's information.,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Ouzinkie, City of",Ouzinkie,Ouzinkie,328.82,0,0,0,0,26152,0,0,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Pedro Bay Village Council,Pedro Bay,Pedro Bay,211.78700000000001,0,0,0,0,19514,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Pelican Utility,Pelican,Pelican,798.50199999999995,0,0,0,0,66631,0,0,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"Petersburg, City of",Blind Slough,Petersburg,618,0,0,10803,0,46662,0,0,EIA,0,Southeast,Petersburg (CA),Sealaska,SE
Pilot Point Electric Utility,Pilot Point,Pilot Point,443.084,0,0,0,5.5170000000000003,44192,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Port Heiden Utilities,Port Heiden,Port Heiden,490.07,0,0,0,0,57543.000000000007,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Puvurnaq Power Company,Kongiganak,Kongiganak,671.83900000000006,0,0,0,44,88397,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"Ruby, City of",Ruby,Ruby,732.57640000000004,0,0,0,0,53248,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Saint George, City of",Saint George,Saint George,420.73200000000003,0,0,0,0,35990,0,0,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Saint Paul Municipal Electric,Saint Paul,Saint Paul,4295.9750000000004,0,0,0,0,316222,0,0,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
"Seward, City of",Seward,Seward,44,0,0,0,0,2226,0,0,EIA,0,Railbelt,Kenai Peninsula,Chugach,SC
"Sitka, City & Borough of",Blue Lake,Sitka,0,0,0,56154,0,0,0,0,EIA,0,Southeast,Sitka,Sealaska,SE
"Sitka, City & Borough of",Green Lake,Sitka,0,0,0,58996,0,0,0,0,EIA,0,Southeast,Sitka,Sealaska,SE
"Sitka, City & Borough of",Jarvis Street,Sitka,1386,0,0,0,0,161028,0,0,EIA,0,Southeast,Sitka,Sealaska,SE
Takotna Community Assoc Inc,Takotna,Takotna,194.57050000000001,0,0,0,0,21799,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,648.31299999999999,0,0,0,0,54661,0,0,PCE,0,Bristol Bay,Lake and Peninsula,Cook Inlet,SW
Tanana Power Company Inc,Tanana,Tanana,1146.596,0,0,0,0,88911,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Tatitlek Village Ira Council,Tatitlek,Tatitlek,472.20400000000001,0,0,0,0,42599,0,0,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
TDX Adak Generating LLC,Adak,Adak,1908.4159999999999,0,0,0,0,217292.2,0,0,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
TDX Corporation,Sand Point,Sand Point,4313.7950000000001,0,0,0,0,299184,0,0,PCE,0,Aleutians,Aleutians East,Aleut,SW
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,434.1617,0,0,0,0,34534.667000000001,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,416.31299999999999,0,0,0,0,33616,0,0,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Tuluksak Traditional,Tuluksak,Tuluksak,606.72309999999993,0,0,0,0,58214,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,970.95100000000002,0,0,0,0,92280.000000000015,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Twin Hills Village Council,Twin Hills,Twin Hills,282.24180000000001,0,0,0,0,30161,0,0,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Umnak Power Company,Nikolski,Nikolski,211.643,0,0,0,0.66,24532,0,0,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,3497.944,0,0,0,921.36699999999996,233637.00000000003,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Unalaska, City of",NA,Unalaska,43500,0,0,0,0,2794440,0,0,PCE,Includes Unalaska Power Module and Dutch Harbor plants,Aleutians,Aleutians West (CA),Aleut,SW
Ungusraq Power Company,Newtok,Newtok,426.98399999999998,0,0,0,0,41159,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
"White Mountain, City of",White Mountain,White Mountain,369.21600000000001,0,0,0,0,29509,0,0,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Wrangell, City of",Wrangell,Wrangell,1374,0,0,0,0,39816,0,0,EIA,0,Southeast,Wrangell,Sealaska,SE
Yakutat Power Inc,Yakutat,Yakutat,6511.7089999999998,0,0,0,0,450578,0,0,PCE,0,Southeast,Yakutat,Sealaska,SE
