"(1) The column labeled Fossil Fuel Turbines include, gas and steam turbines as well as combined cycle systems. For detail information regarding prime mover and fuel type used at each plant, please refer to Table 2.4a.
Fossil Fuel Turbines:
     Gas Turbine (combustion-turbine) produces electricity by passing hot gases produced from combustion of natural gas or distillate oil through the turbine.
     Steam turbine (fossil-fueled) the fuel is burned in a boiler to produce steam; the steam turns the turbine to produce electricity. 
     Combined Cycle generators produce electricity from otherwise lost waste heat exiting from one or more gas (combustion) turbines. The exiting heat is routed to a conventional boiler or to a heat recovery steam generator for utilization by a steam turbine in the production of electricity. This process increases the efficiency of the electric generating unit. 
Internal Combustion Reciprocating Engine (diesel) generators have cylinders in which the combustion of fuel takes place and the engine provides mechanical energy to drive the generator to produce electricity. 
Hydroelectric power is produced from flowing water that spins a turbine connected to a electricity generator. 
Wind turbine produces electricity by converting kinetic energy into mechanical energy to drive electric power generators.  

If 'Community Name' is blank, it indicates that the Utility serves multiple communities. For a full list of the communities served by each utility, please refer to the 'Community List' worksheet.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
Copper Valley Elec Assn Inc,Solomon Gulch,"Glennallen, Valdez",12000,0,0,12000,0,EIA-F860,PCE Ineligible,0,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Copper Valley Elec Assn Inc,Valdez,Valdez,9700,2800,6900,0,0,EIA-F860,PCE Ineligible,0,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,5300,5300,0,0,0,EIA-F860,PCE Ineligible,0,CVEA,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,Humpback Creek,"Cordova, Eyak",1200,0,0,1200,0,EIA-F860,PCE Eligible Active,New plant,CORDEC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,Orca,"Cordova, Eyak",10700,0,10700,0,0,EIA-F860,PCE Eligible Active,0,CORDEC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Cordova Electric Cooperative,Power Creek,"Cordova, Eyak",6000,0,0,6000,0,AEA Hydro Program Manager,PCE Eligible Active,0,CORDEC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
Egegik Light & Power Co,Egegik,Egegik,380,0,380,0,0,AEA Village Assessment,PCE Eligible Active,0,EGEGLP,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,347,0,347,0,0,AEA Village Assessment,PCE Eligible Active,0,ELFICEU,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"Enerdyne, LLC",McRoberts Creek,NA,125,NA,NA,125,NA,AEA Hydro Program Manager,PCE Ineligible,Sells all its power to Matanuska Electric Association,0,Railbelt,Matanuska Susitna,Cook Inlet,SC
"False Pass, City of",False Pass,False Pass,375,0,375,0,0,AEA Village Assessment,PCE Eligible Active,0,FALSPE,Aleutians,Aleutians East,Aleut,SW
G & K Inc,Cold Bay,Cold Bay,2495,0,2495,0,0,AEA Village Assessment,PCE Eligible Active,0,G&K,Aleutians,Aleutians East,Aleut,SW
"Galena, City of",Galena,Galena,4200,0,4200,0,0,EIA-F860,PCE Eligible Active,0,GALE,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Gold Country Energy,Central,Central,575,0,575,0,0,AEA Village Assessment,PCE Eligible Active,0,CENTEI,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Golden Valley Elec Assn Inc,Delta Power,NA,23100,23100,0,0,0,EIA-F860,PCE Ineligible,0,GVEA,Railbelt,Fairbanks North Star,Doyon,YU
Golden Valley Elec Assn Inc,Fairbanks,NA,42200,36800,5400,0,0,EIA-F860,PCE Ineligible,0,GVEA,Railbelt,Fairbanks North Star,Doyon,YU
Golden Valley Elec Assn Inc,Healy,NA,30800,28000,2800,0,0,EIA-F860,PCE Ineligible,0,GVEA,Railbelt,Denali,Doyon,YU
Golden Valley Elec Assn Inc,North Pole,NA,181000,181000,0,0,0,EIA-F860,PCE Ineligible,0,GVEA,Railbelt,Fairbanks North Star,Doyon,YU
Golovin Power Utilities,Golovin,Golovin,580,0,580,0,0,AEA Village Assessment,PCE Eligible Active,0,GOLOPU,Bering Straits,Nome (CA),Bering Straits,AN
Gustavus Electric Co,Falls Creek,Gustavus,800,0,0,800,0,AEA Hydro Program Manager,PCE Eligible Active,0,GUSTE,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Gustavus Electric Co,Gustavus,Gustavus,842,0,842,0,0,AEA Village Assessment,PCE Eligible Active,0,GUSTE,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,1700,0,1700,0,0,EIA-F860,PCE Eligible Active,0,GWITZU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Homer Electric Assn Inc,Bradley Lake,NA,126000,0,0,119700,0,EIA-F860,PCE Ineligible,"Generation from Bradley Lake is shared among Chugach, AML&P, HEA, MEA, Seward Electric and GVEA",HEA,Railbelt,Anchorage,Cook Inlet,SC
Homer Electric Assn Inc,Nikiski Co-Generation,NA,37900,37900,0,0,0,EIA-F860,PCE Ineligible,0,HEA,Railbelt,Kenai Peninsula,Cook Inlet,SC
Homer Electric Assn Inc,Seldovia,NA,2400,0,2400,0,0,EIA-F860,PCE Ineligible,0,HEA,Railbelt,Kenai Peninsula,Cook Inlet,SC
Hughes Power & Light,Hughes,Hughes,230,0,230,0,0,AEA Village Assessment,PCE Eligible Active,0,HUGHPL,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Igiugig Electric Company,Igiugig,Igiugig,201,0,201,0,0,AEA Village Assessment,PCE Eligible Active,0,IGIUEC,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"I-N-N Electric Coop, Inc",Newhalen,"Iliamna, Newhalen, Nondalton",1500,0,1500,0,0,EIA-F860,PCE Eligible Active,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Newhalen's information is included in Nondalton's data.",INN,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"I-N-N Electric Coop, Inc",Tazimina,"Iliamna, Newhalen, Nondalton",800,0,0,824,0,EIA-F860,PCE Eligible Active,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Iliamna's information is included in Nondalton's data.",INN,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Inside Passage Electric,Angoon,Angoon,1500,0,1500,0,0,EIA-F860,PCE Eligible Active,0,INSIPEC,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Chilkat Valley,Chilkat Valley,1100,0,1100,0,0,EIA-F860,PCE Eligible Active,Provides power to Klukwan via intertie. Power is purchased from AP&T.,INSIPEC,Southeast,Haines,Sealaska,SE
Inside Passage Electric,10 Mile,"Haines, Skagway",600,0,0,600,0,AEA Hydro Program Manager,PCE Ineligible,"Southern Energy Inc (SEI) owned this facility for most of 2011. IPEC bought the 10 Mile plant in October, 2011. Prior to t he purchase SEI wholesale all power to IPEC. All IPEC comminities have a postage stamp rate. Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.",0,Southeast,Haines,Sealaska,SE
Inside Passage Electric,Hoonah,Hoonah,2400,0,2400,0,0,EIA-F860,PCE Eligible Active,0,INSIPEC,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Kake,Kake,2500,0,2500,0,0,EIA-F860,PCE Eligible Active,0,INSIPEC,Southeast,Petersburg (CA),Sealaska,SE
Ipnatchiaq Electric Company,Deering,Deering,577,0,577,0,0,AEA Village Assessment,PCE Eligible Active,0,IPNAEC,Northwest Arctic,Northwest Arctic,NANA,AN
Ketchikan Public Utilities,Beaver Falls,Ketchikan,5400,0,0,5400,0,EIA-F860,PCE Ineligible,0,KPU,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Ketchikan,Ketchikan,4200,0,0,4200,0,EIA-F860,PCE Ineligible,0,KPU,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,S W Bailey,Ketchikan,25900,0,25900,0,0,EIA-F860,PCE Ineligible,0,KPU,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Silvis,Ketchikan,2100,0,0,2100,0,EIA-F860,PCE Ineligible,0,KPU,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Swan Lake,"Wrangell, Petersburg, Ketchikan",22400,0,0,22400,0,EIA-F860,PCE Ineligible,0,KPU,Southeast,Ketchikan Gateway,Sealaska,SE
"King Cove, City of",King Cove,King Cove,800,0,0,800,0,EIA-F860,PCE Eligible Active,0,KINGC,Aleutians,Aleutians East,Aleut,SW
"King Cove, City of",King Cove,King Cove,1800,0,1800,0,0,EIA-F860,PCE Eligible Active,0,KINGC,Aleutians,Aleutians East,Aleut,SW
Kobuk Valley Electric Company,Kobuk,Kobuk,215,0,215,0,0,AEA Village Assessment,PCE Eligible Active,"Receives power from Shungnak via intertie. For fuel use and cost, please refer to Shungnak. On July 1, 2012, AVEC took over operations in Kobuk.",KOBUVEC,Northwest Arctic,Northwest Arctic,NANA,AN
Kodiak Electric Assn Inc,Kodiak,Kodiak,22300,0,22300,0,0,EIA-F860,PCE Ineligible,0,KEA,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,10000,0,10000,0,0,EIA-F860,PCE Ineligible,0,KEA,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,4500,0,0,0,4500,EIA-F860,PCE Ineligible,0,KEA,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Port Lions,Kodiak,1000,0,1000,0,0,EIA-F860,PCE Ineligible,0,KEA,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Terror Lake,Kodiak,22400,0,0,22400,0,EIA-F860,PCE Ineligible,0,KEA,Kodiak,Kodiak Island,Koniag,SC
Kokhanok Village Council,Kokhanok,Kokhanok,612,0,612,0,0,AEA Village Assessment,PCE Eligible Active,0,KOKHVC,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Kotzebue Electric Association,Kotzebue,Kotzebue,14600,0,11700,0,1140,AEA Wind Program Manager,PCE Eligible Active,0,KOTZEA,Northwest Arctic,Northwest Arctic,NANA,AN
"Koyukuk, City of",Koyukuk,Koyukuk,202,0,202,0,0,AEA Village Assessment,PCE Eligible Active,0,KOYU,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Kwethluk Incorporated,Kwethluk,Kwethluk,1300,0,1300,0,0,AEA Village Assessment,PCE Eligible Active,0,KWET,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kwigillingok Power Company,Kwigillingok,Kwigillingok,723,0,723,0,0,AEA Village Assessment,PCE Eligible Active,0,KWIGPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,475,0,0,475,0,AEA Hydro Program Manager,PCE Eligible Active,0,LARSBUC,Kodiak,Kodiak Island,Koniag,SC
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,393,0,393,0,0,AEA Village Assessment,PCE Eligible Active,0,LARSBUC,Kodiak,Kodiak Island,Koniag,SC
Levelock Electrical Coop,Levelock,Levelock,234,0,234,0,0,AEA Village Assessment,PCE Eligible Active,0,LEVEEC,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Manokotak Power Company,Manokotak,Manokotak,730,0,730,0,0,AEA Village Assessment,PCE Eligible Active,0,MANOPC,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Mcgrath Light & Power,McGrath,McGrath,2200,0,2200,0,0,EIA-F860,PCE Eligible Active,0,MCGRLP,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Metlakatla Power & Light,Centennial,Metlakatla,3300,0,3300,0,0,EIA-F860,PCE Ineligible,0,MP&L,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Metlakatla Power & Light,Chester Lake,Metlakatla,1000,0,0,1000,0,EIA-F860,PCE Ineligible,0,MP&L,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Metlakatla Power & Light,Purple Lake,Metlakatla,3900,0,0,3900,0,EIA-F860,PCE Ineligible,0,MP&L,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,179,0,179,0,0,AEA Village Assessment,PCE Eligible Active,0,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,223,0,223,0,0,AEA Village Assessment,PCE Eligible Active,0,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Red Devil,Red Devil,130,0,130,0,0,AEA Village Assessment,PCE Eligible Active,0,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Sleetmute,Sleetmute,323,0,323,0,0,AEA Village Assessment,PCE Eligible Active,0,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Stony River,Stony River,138,0,138,0,0,AEA Village Assessment,PCE Eligible Active,0,MIDDKEC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naknek Electric Association,Naknek,"Naknek, King Salmon, South Naknek",9900,0,9900,0,0,EIA-F860,PCE Eligible Active,Provides power to South Naknek and King Salmon via intertie. Data includes South Naknek's and King Salmon's information.,NAKNEA,Bristol Bay,Bristol Bay,Bristol Bay,SW
Napakiak Ircinraq,Napakiak,Napakiak,250,0,250,0,0,AEA Village Assessment,PCE Eligible Active,Purchases power from Bethel Utilities Corporation,NAPAC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naterkaq Light Plant,Chefornak,Chefornak,921,0,921,0,0,AEA Village Assessment,PCE Eligible Active,0,NATELP,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Native Village of Perryville,Perryville,Perryville,24,0,0,0,24,AEA Wind Program Manager,PCE Eligible Active,0,PERR,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Native Village of Perryville,Perryville,Perryville,473,0,473,0,0,AEA Village Assessment,PCE Eligible Active,0,PERR,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,300,0,300,0,0,AEA Village Assessment,PCE Eligible Active,0,NELSLEC,Aleutians,Aleutians East,Aleut,SW
New Koliganek Village Council,Koliganek,Koliganek,420,0,420,0,0,AEA Village Assessment,PCE Eligible Active,0,NEWKVC,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Nikolai, City of",Nikolai,Nikolai,300,0,300,0,0,AEA Village Assessment,PCE Eligible Active,0,NIKO,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Nome Joint Utility Systems,Snake River,Nome,20500,0,20500,0,0,EIA-F860,PCE Eligible Active,0,NOME,Bering Straits,Nome (CA),Bering Straits,AN
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,2800,0,2800,0,0,EIA-F860,PCE Eligible Active,0,NORTSB,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Atqasuk,Atqasuk,3200,0,3200,0,0,EIA-F860,PCE Eligible Active,0,NORTSB,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Kaktovik,Kaktovik,2600,0,2600,0,0,EIA-F860,PCE Eligible Active,0,NORTSB,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,4200,0,4200,0,0,EIA-F860,PCE Eligible Active,0,NORTSB,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Hope,Point Hope,2700,0,2700,0,0,EIA-F860,PCE Eligible Active,0,NORTSB,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Lay,Point Lay,1800,0,1800,0,0,EIA-F860,PCE Eligible Active,0,NORTSB,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Wainwright,Wainwright,3000,0,3000,0,0,EIA-F860,PCE Eligible Active,0,NORTSB,North Slope,North Slope,Arctic Slope,AN
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,708,0,708,0,0,AEA Village Assessment,PCE Eligible Active,0,NUNAIEC,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Nushagak Electric Cooperative,Dillingham,"Dillingham, Aleknagik",6600,0,6600,0,0,EIA-F860,PCE Eligible Active,Provides power to Aleknagik via intertie. Data includes Aleknagik's information.,NETCI,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Ouzinkie, City of",Ouzinkie,Ouzinkie,336,0,336,0,0,AEA Village Assessment,PCE Eligible Active,0,OUZI,Kodiak,Kodiak Island,Koniag,SC
Pedro Bay Village Council,Pedro Bay,Pedro Bay,211,0,211,0,0,AEA Village Assessment,PCE Eligible Active,0,PEDRBV,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Pelican Utility,Pelican,Pelican,2850,0,2200,700,0,EIA-F860,PCE Eligible Active,0,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"Petersburg, City of",Blind Slough,Petersburg,12700,0,10700,2000,0,EIA-F860,PCE Ineligible,0,PETERSBURG,Southeast,Petersburg (CA),Sealaska,SE
Pilot Point Electric Utility,Pilot Point,Pilot Point,246,0,246,0,0,AEA Village Assessment,PCE Eligible Active,0,PILOPEU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"Platinum, City of",Platinum,Platinum,129,0,129,0,0,AEA Village Assessment,PCE Eligible Inactive,0,PLAT,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Port Heiden Utilities,Port Heiden,Port Heiden,369,0,369,0,0,AEA Village Assessment,PCE Eligible Active,0,PORTHU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Puvurnaq Power Company,Kongiganak,Kongiganak,1375,0,925,0,450,AEA Village Assessment,PCE Eligible Active,0,PUVUPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Rampart Village Council,Rampart,Rampart,367,0,367,0,0,AEA Village Assessment,PCE Eligible Inactive,0,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Ruby, City of",Ruby,Ruby,464,0,464,0,0,AEA Village Assessment,PCE Eligible Active,0,RUBY,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Saint George, City of",Saint George,Saint George,980,0,980,0,0,AEA Village Assessment,PCE Eligible Inactive,0,ST. GEORGE,Aleutians,Aleutians West (CA),Aleut,SW
Saint Paul Municipal Electric,Saint Paul,Saint Paul,2620,0,2620,0,0,AEA Village Assessment,PCE Eligible Active,0,STPMEU,Aleutians,Aleutians West (CA),Aleut,SW
Saint Paul Municipal Electric,Saint Paul,Saint Paul,675,0,0,0,675,AEA Wind Program Manager,PCE Eligible Active,0,STPMEU,Aleutians,Aleutians West (CA),Aleut,SW
"Seward, City of",Seward,Seward,15600,0,15600,0,0,EIA-F860,PCE Ineligible,0,SEWARD,Railbelt,Kenai Peninsula,Chugach,SC
"Sitka, City & Borough of",Blue Lake,Sitka,7000,0,0,7000,0,EIA-F860,PCE Ineligible,0,SITKA,Southeast,Sitka,Sealaska,SE
"Sitka, City & Borough of",Green Lake,Sitka,18600,0,0,18600,0,EIA-F860,PCE Ineligible,0,SITKA,Southeast,Sitka,Sealaska,SE
"Sitka, City & Borough of",Jarvis Street,Sitka,12100,0,12100,0,0,EIA-F860,PCE Ineligible,0,SITKA,Southeast,Sitka,Sealaska,SE
Southeast Alaska Power Agency,Tyee Lake,"Wrangell, Petersburg, Ketchikan",22500,0,0,20000,0,FERC,PCE Ineligible,0,0,Southeast,Ketchikan Gateway,Sealaska,SE
Stevens Village Ira Council,Stevens Village,Stevens Village,263,0,263,0,0,AEA Village Assessment,PCE Eligible Inactive,0,STEVVIC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Sustainable Energy Company of AK Peninsula,Pilot Point,"Pilot Point, Port Heiden",20,0,0,0,20,AEA Wind Program Manager,PCE Eligible Active,The communities are eligible for PCE but not the IPP.,PORTHU,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Takotna Community Assoc Inc,Takotna,Takotna,216,0,216,0,0,AEA Village Assessment,PCE Eligible Active,0,TAKOC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,466,0,466,0,0,AEA Village Assessment,PCE Eligible Active,0,TANAEC,Bristol Bay,Lake and Peninsula,Cook Inlet,SW
Tanana Power Company Inc,Tanana,Tanana,1545,0,1545,0,0,AEA Village Assessment,PCE Eligible Active,0,TPC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Tatitlek Village Ira Council,Tatitlek,Tatitlek,315,0,315,0,0,AEA Village Assessment,PCE Eligible Active,0,TATIVIC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
TDX Adak Generating LLC,Adak,Adak,4035,0,4035,0,0,AEA Village Assessment,PCE Eligible Active,0,TDXA,Aleutians,Aleutians West (CA),Aleut,SW
TDX Corporation,Sand Point,Sand Point,1000,0,0,0,1000,AEA Wind Program Manager,PCE Eligible Active,0,TDXC,Aleutians,Aleutians East,Aleut,SW
TDX Corporation,Sand Point,Sand Point,2880,0,2880,0,0,AEA Village Assessment,PCE Eligible Active,0,TDXC,Aleutians,Aleutians East,Aleut,SW
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,486,0,486,0,0,AEA Village Assessment,PCE Eligible Active,0,TMG,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,240,0,240,0,0,AEA Village Assessment,PCE Eligible Active,0,TENAS,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Tuluksak Traditional,Tuluksak,Tuluksak,795,0,795,0,0,AEA Village Assessment,PCE Eligible Active,0,TULUTPU,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,865,0,865,0,0,AEA Village Assessment,PCE Eligible Active,0,TUNTCSA,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Twin Hills Village Council,Twin Hills,Twin Hills,220,0,220,0,0,AEA Village Assessment,PCE Eligible Active,0,TWINHVC,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Umnak Power Company,Nikolski,Nikolski,261,0,196,0,65,AEA Village Assessment,PCE Eligible Active,0,UMNAP,Aleutians,Aleutians West (CA),Aleut,SW
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,2600,0,2000,0,600,EIA-F860,PCE Eligible Active,0,UVEC,Bering Straits,Nome (CA),Bering Straits,AN
"Unalaska, City of",Dutch Harbor,Dutch Harbor,17500,0,17500,0,0,EIA-F860,PCE Eligible Active,0,UNALASKA,Aleutians,Aleutians West (CA),Aleut,SW
"Unalaska, City of",Unalaska Power Module,Unalaska,1100,0,1100,0,0,EIA-F860,PCE Eligible Active,0,UNALASKA,Aleutians,Aleutians West (CA),Aleut,SW
Venetie Village Electric,Venetie,Venetie,495,0,495,0,0,AEA Village Assessment,PCE Eligible Inactive,0,VENEVE,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"White Mountain, City of",White Mountain,White Mountain,585,0,585,0,0,AEA Village Assessment,PCE Eligible Active,0,WHITMU,Bering Straits,Nome (CA),Bering Straits,AN
"Wrangell, City of",Wrangell,Wrangell,8500,0,8500,0,0,EIA-F860,PCE Ineligible,0,WRANGELL,Southeast,Wrangell,Sealaska,SE
Yakutat Power Inc,Yakutat,Yakutat,3700,0,3700,0,0,EIA-F860,PCE Eligible Active,0,YAKUP,Southeast,Yakutat,Sealaska,SE
