"Region: AN=Arctic Northwest, SE=South East, SC=South Central, SW=SouthWest, YU=Yukon",...2,...3,...4,...5,...6,...7,...8,...9,...10
Tetlin,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Dyon,YU,1410765,63.135051199999999,-142.52387959999999
Togiak,Alaska Village Electric Cooperative,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1411039,59.061944400000002,-160.37638889999999
Tok,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1411046,63.336666700000002,-142.9855556
Toksook Bay,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1411060,60.533775200000001,-165.1036627
Tonsina,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1411105,61.655833299999998,-145.1752778
Tuluksak,Tuluksak Traditional,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1411295,61.102499999999999,-160.96166669999999
Tuntutuliak,Tuntutuliak Community,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1411324,60.3430556,-162.66305560000001
Unalakleet,Unalakleet Valley Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1411517,63.873055600000001,-160.78805560000001
Venetie,Venetie Village Electric,PCE Eligible Inactive,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1411644,67.013888899999998,-146.41861109999999
Wainwright,North Slope Borough Power & Light,PCE Eligible Active,North Slope,North Slope,Arctic Slope,AN,1411728,70.636944400000004,-160.03833330000001
Wasilla,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1411788,61.5813889,-149.43944440000001
White Mountain,"White Mountain, City of",PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1411989,64.681388900000002,-163.40555560000001
Willow Creek,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1412074,61.819722200000001,-145.21222220000001
Valdez,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1412465,61.130833299999999,-146.34833330000001
Ambler,Alaska Village Electric Cooperative,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1412509,67.086111099999997,-157.85138889999999
Anchor Point,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1412516,59.7766667,-151.83138890000001
Buckland,"Buckland, City of",PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1412684,65.979722199999998,-161.12305559999999
Clam Gulch,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1412797,60.2311111,-151.39361109999999
Cohoe,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1412828,60.368611100000003,-151.3063889
Deering,Ipnatchiaq Electric Company,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1412894,66.075555600000001,-162.71722220000001
Nanwalek,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1412986,59.356388899999999,-151.9208333
Homer,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413141,59.642499999999998,-151.5483333
Kachemak,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413247,59.67,-151.43416669999999
Kalifornsky,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413260,60.4183333,-151.29
Kasilof,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413283,60.337499999999999,-151.27444439999999
Kenai,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413299,60.554444400000001,-151.2583333
Kiana,Alaska Village Electric Cooperative,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413311,66.974999999999994,-160.42277780000001
Kivalina,Alaska Village Electric Cooperative,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413348,67.726944399999994,-164.53333330000001
Kobuk,Kobuk Valley Electric Company,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413362,66.907222200000007,-156.8811111
Kotzebue,Kotzebue Electric Association,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413378,66.898333300000004,-162.59666669999999
Ninilchik,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413634,60.051388899999999,-151.66888890000001
Noatak,Alaska Village Electric Cooperative,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413638,67.571111099999996,-162.9652778
Noorvik,Alaska Village Electric Cooperative,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413646,66.838333300000002,-161.03277779999999
Port Graham,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413800,59.351388900000003,-151.82972219999999
Salamatof,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413901,60.615375,-151.3194369
Selawik,Alaska Village Electric Cooperative,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413930,66.603888900000001,-160.00694440000001
Seldovia,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1413937,59.438055599999998,-151.7113889
Shungnak,Alaska Village Electric Cooperative,PCE Eligible Active,Northwest Arctic,Northwest Arctic,NANA,AN,1413983,66.888055600000001,-157.13638889999999
Soldotna,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1414025,60.487777800000003,-151.05833329999999
Sterling,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1414063,60.537222200000002,-150.76472219999999
Tyonek,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1414206,61.068055600000001,-151.1369444
Seward,"Seward, City of",PCE Ineligible,Railbelt,Kenai Peninsula,Chugach,SC,1414598,60.1041667,-149.4422222
Sitka,"Sitka, City & Borough of",PCE Ineligible,Southeast,Sitka,Sealaska,SE,1414736,57.0530556,-135.33000000000001
Skagway,Alaska Power & Telephone Company,PCE Ineligible,Southeast,Skagway,Sealaska,SE,1414754,59.4583333,-135.31388889999999
Sunrise,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1415091,60.889722200000001,-149.42111109999999
Tatitlek,Tatitlek Village Ira Council,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1415193,60.864722200000003,-146.67861110000001
Tenakee Springs,"Tenakee Springs, City of",PCE Eligible Active,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1415210,57.780833299999998,-135.2188889
Whittier,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Valdez-Cordova (CA),Cook Inlet,SC,1415757,60.773055599999999,-148.6838889
Wrangell,"Wrangell, City of",PCE Ineligible,Southeast,Wrangell,Sealaska,SE,1415843,56.470833300000002,-132.37666669999999
Yakutat,Yakutat Power Inc,PCE Eligible Active,Southeast,Yakutat,Sealaska,SE,1415858,59.546944400000001,-139.7272222
Goodnews Bay,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1415910,59.118888900000002,-161.58750000000001
Houston,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1416613,61.630277800000002,-149.81805560000001
Nikiski,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1416651,60.690277799999997,-151.28888889999999
Nuiqsut,North Slope Borough Power & Light,PCE Eligible Active,North Slope,North Slope,Arctic Slope,AN,1416680,70.217500000000001,-150.97638889999999
Twin Hills,Twin Hills Village Council,PCE Eligible Active,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1416737,59.079166700000002,-160.27500000000001
Butte,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1416898,61.542222199999998,-149.03333330000001
Crown Point,"Seward, City of",PCE Ineligible,Railbelt,Kenai Peninsula,Chugach,SC,1417059,60.4222222,-149.3666667
Nikolaevsk,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1417063,59.811944400000002,-151.6105556
Moose Pass,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1417076,60.487499999999997,-149.3688889
Trapper Creek,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1417100,62.316666699999999,-150.23138890000001
Willow,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1417146,61.747222200000003,-150.03749999999999
Adak,TDX Adak Generating LLC,PCE Eligible Active,Aleutians,Aleutians West (CA),Aleut,SW,1418109,51.88,-176.65805560000001
Akutan,"Akutan, City of",PCE Eligible Active,Aleutians,Aleutians East,Aleut,SW,1418123,54.135555600000004,-165.77305559999999
Atka,"Atka, City of",PCE Eligible Active,Aleutians,Aleutians West (CA),Aleut,SW,1418170,52.196111100000003,-174.2005556
Cold Bay,G & K Inc,PCE Eligible Active,Aleutians,Aleutians East,Aleut,SW,1418448,55.185833299999999,-162.7211111
False Pass,"False Pass, City of",PCE Eligible Active,Aleutians,Aleutians East,Aleut,SW,1418574,54.850833299999998,-163.41499999999999
King Cove,"King Cove, City of",PCE Eligible Active,Aleutians,Aleutians East,Aleut,SW,1418792,55.061666700000004,-162.31027779999999
Nelson Lagoon,Nelson Lagoon Electrical Coop,PCE Eligible Active,Aleutians,Aleutians East,Aleut,SW,1418948,56.000615199999999,-161.206974
Nikolski,Umnak Power Company,PCE Eligible Active,Aleutians,Aleutians West (CA),Aleut,SW,1418954,52.938055599999998,-168.8677778
Port Heiden,Port Heiden Utilities,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1419072,56.932561399999997,-158.6249699
Saint George,"Saint George, City of",PCE Eligible Active,Aleutians,Aleutians West (CA),Aleut,SW,1419161,56.6,-169.54166670000001
Saint Paul,Saint Paul Municipal Electric,PCE Eligible Active,Aleutians,Aleutians West (CA),Aleut,SW,1419163,57.122222200000003,-170.27500000000001
Sand Point,TDX Corporation,PCE Eligible Active,Aleutians,Aleutians East,Aleut,SW,1419182,55.339722199999997,-160.49722220000001
Unalaska,"Unalaska, City of",PCE Eligible Active,Aleutians,Aleutians West (CA),Aleut,SW,1419424,53.873611099999998,-166.53666670000001
Dutch Harbor,"Unalaska, City of",PCE Eligible Active,Aleutians,Aleutians West (CA),Aleut,SW,1419726,53.889800000000001,-166.54220000000001
Angoon,Inside Passage Electric,PCE Eligible Active,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1420113,57.503333300000001,-134.58388890000001
Brevig Mission,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1420670,65.334722200000002,-166.4891667
Chilkat Valley,Inside Passage Electric,PCE Eligible Active,Southeast,Haines,Sealaska,SE,1421022,59.399701999999998,-135.89640890000001
Cooper Landing,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1421192,60.49,-149.8341667
Cordova,Cordova Electric Cooperative,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1421215,60.542777800000003,-145.75749999999999
Chenega Bay,Chenega Ira Council,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1421254,60.063333299999996,-148.01138889999999
Craig,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1421260,55.476388900000003,-133.14833329999999
Girdwood,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Anchorage,Cook Inlet,SC,1422161,60.942500000000003,-149.16638889999999
Haines,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1422400,59.228588999999999,-135.44411400000001
Hope,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1422645,60.920277800000001,-149.64027780000001
Hydaburg,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1422709,55.208055600000002,-132.8266667
Kake,Inside Passage Electric,PCE Eligible Active,Southeast,Petersburg (CA),Sealaska,SE,1422926,56.975833299999998,-133.9472222
Ketchikan,Ketchikan Public Utilities,PCE Ineligible,Southeast,Ketchikan Gateway,Sealaska,SE,1423039,55.342222200000002,-131.64611110000001
Klawock,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1423100,55.552222200000003,-133.09583330000001
Loring,Alaska Power & Telephone Company,PCE Ineligible,Southeast,Ketchikan Gateway,Sealaska,SE,1423422,55.602499999999999,-131.63611109999999
McKinley Park,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Denali,Doyon,SC,1423625,63.732777800000001,-148.91416670000001
Metlakatla,Metlakatla Power & Light,PCE Ineligible,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1423661,55.129166699999999,-131.5722222
Pelican,Pelican Utility,PCE Eligible Active,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1424201,57.960833299999997,-136.22749999999999
Petersburg,"Petersburg, City of",PCE Ineligible,Southeast,Petersburg (CA),Sealaska,SE,1424228,56.811266699999997,-132.95124250000001
Primrose,"Seward, City of",PCE Ineligible,Railbelt,Kenai Peninsula,Chugach,SC,1424646,60.343611099999997,-149.34416669999999
Shaktoolik,Alaska Village Electric Cooperative,PCE Eligible Active,Bering Straits,Nome (CA),Bering Straits,AN,1669434,64.333888900000005,-161.1538889
Thorne Bay,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1669435,55.687777799999999,-132.52222219999999
Coffman Cove,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1669437,56.013888899999998,-132.82777780000001
Atmautluak,Atmautluak Tribal Utilities,PCE Eligible Active,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1699811,60.866944400000001,-162.27305559999999
Whale Pass,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1744590,56.115277800000001,-133.12083329999999
Halibut Cove,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1781963,59.594999999999999,-151.22499999999999
Eyak,Cordova Electric Cooperative,PCE Eligible Active,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1805281,60.526294,-145.6351157
Alatna,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1865542,66.557222199999998,-152.70722219999999
Bear Creek,"Seward, City of",PCE Ineligible,Railbelt,Kenai Peninsula,Chugach,SC,1865547,60.164166700000003,-149.39500000000001
Beluga,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1865548,61.141111100000003,-151.0827778
Diamond Ridge,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1865549,59.6761111,-151.5575
Dot Lake Village,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1865550,63.650833300000002,-144.04388890000001
Funny River,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1865552,60.501944399999999,-150.7622222
Gateway,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1865553,61.572777799999997,-149.24083329999999
Lake Louise,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1865556,62.281388900000003,-146.55111110000001
Lowell Point,"Seward, City of",PCE Ineligible,Railbelt,Kenai Peninsula,Chugach,SC,1865557,60.072499999999998,-149.4411111
Nelchina,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1865559,61.991944400000001,-146.76861109999999
Point MacKenzie,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1865561,61.3597222,-149.9783333
Tanaina,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1865567,61.626944399999999,-149.42805559999999
Tolsona,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1865569,62.083888899999998,-146.07027780000001
Big Lake,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1866933,61.521388899999998,-149.9544444
Chase,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1866934,62.449166699999999,-150.10166670000001
Chiniak,Kodiak Electric Assn Inc,PCE Ineligible,Kodiak,Kodiak Island,Koniag,SC,1866935,57.631944400000002,-152.1825
Copperville,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1866937,62.043888899999999,-145.4205556
Covenant Life,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1866938,59.417222199999998,-136.02500000000001
Deadhorse,TDX North Slope Generating Company,PCE Ineligible,North Slope,Northwest Arctic,NANA,SC,1866941,70.205555599999997,-148.51166670000001
Fox River,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1866945,59.858333299999998,-150.95833329999999
Fritz Creek,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1866947,59.736111100000002,-151.29527780000001
Happy Valley,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1866949,59.947222199999999,-151.7322222
Hollis,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1866952,55.556666700000001,-132.63638889999999
Jakolof Bay,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1866953,59.4469444,-151.51027780000001
Kenny Lake,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1866955,61.719166700000002,-144.9483333
Klukwan,Inside Passage Electric,PCE Eligible Active,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1866956,59.403888899999998,-135.88444440000001
Lazy Mountain,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1866958,61.626111100000003,-148.94555560000001
Meadow Lakes,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,1866961,61.624722200000001,-149.6011111
Mendeltna,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1866962,62.066111100000001,-146.44999999999999
Mosquito Lake,Alaska Power & Telephone Company,PCE Ineligible,Southeast,Haines,Sealaska,SE,1866963,59.529166699999998,-136.09111110000001
Naukati Bay,Alaska Power & Telephone Company,PCE Eligible Active,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE,1866964,55.873611099999998,-133.18472220000001
Northway Junction,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,1866965,63.002222199999999,-141.77722220000001
Pleasant Valley,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,SC,1866967,64.881388900000005,-146.86861110000001
Ridgeway,Homer Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,1866972,60.5319444,-151.0852778
Womens Bay,Kodiak Electric Assn Inc,PCE Ineligible,Kodiak,Kodiak Island,Koniag,SC,1866977,57.682222199999998,-152.66861109999999
Badger,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,1893447,64.8,-147.53333330000001
Chignik Lake,Chignik Lake Electric Utility,PCE Eligible Active,Bristol Bay,Lake and Peninsula,Bristol Bay,SW,1893911,56.255555600000001,-158.76249999999999
Bettles,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1926949,66.918888899999999,-151.51611109999999
Deltana,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Southeast Fairbanks (CA),Doyon,YU,2418552,63.8721715,-145.21772999999999
Farm Loop,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,2418580,61.638906800000001,-149.14214999999999
Fishhook,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,2418582,61.744017200000002,-149.23613
Four Mile Road,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Yukon-Koyukuk (CA),Doyon,YU,2418586,64.602834099999995,-149.12006
Glacier View,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,2418599,61.907483499999998,-147.50484
Harding-Birch Lakes,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,SC,2418611,64.371402399999994,-146.59909999999999
Knik River,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,2418662,61.460011199999997,-148.91237000000001
Kodiak Station,Kodiak Electric Assn Inc,PCE Ineligible,Kodiak,Kodiak Island,Koniag,SC,2418665,57.765866699999997,-152.60004000000001
Lakes,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,2418681,61.6052854,-149.30661380000001
Alcan Border,Alaska Power & Telephone Company,PCE Ineligible,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,2418762,62.6747868,-141.13140000000001
Andreafsky,Alaska Village Electric Cooperative,PCE Eligible Active,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU,2418771,62.071503,-163.279515
Buffalo Soapstone,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,2418798,61.716232499999997,-149.09998999999999
Salcha,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,2419205,64.523990400000002,-146.90209999999999
Silver Springs,Copper Valley Elec Assn Inc,PCE Ineligible,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,2419219,62.019198400000001,-145.35541000000001
Susitna North,"Matanuska Electric Association, Enerdyne, LLC",PCE Ineligible,Railbelt,Matanuska-Susitna,Cook Inlet,SC,2419240,61.796256399999997,-148.85051000000001
Healy Lake,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Southeast Fairbanks (CA),Doyon,YU,2419534,63.987230799999999,-144.69983250000001
New Allakaket,Alaska Power & Telephone Company,PCE Eligible Active,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,2419536,66.542680000000004,-152.64769000000001
Chena Ridge,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,2582710,64.794090699999998,-148.03574549999999
Farmers Loop,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,2582712,64.906182400000006,-147.695391
Goldstream,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,2582713,64.9339114,-148.0083822
Point Possession,Chugach Electric Assn Inc,PCE Ineligible,Railbelt,Kenai Peninsula,Cook Inlet,SC,2582716,60.923099000000001,-150.68820740000001
South Van Horn,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,2582717,64.809084799999994,-147.7854312
Steele Creek,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Fairbanks North Star,Doyon,YU,2582718,64.929533199999995,-147.39532819999999
Whitestone,"Golden Valley Elec Assn Inc, Aurora Energy LLC Chena, Alaska Environmental LLC",PCE Ineligible,Railbelt,Southeast Fairbanks (CA),Doyon,SC,2582719,64.152837500000004,-145.90640529999999
