"Sources: Regulatory Commision of Alaska, U.S. Department of Energy - Energy Information Admisnistration and ISER.
Region: AN=Arctic Northwest, SE=South East, SC=South Central, SW=SouthWest, YU=Yukon",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
Southeast Alaska Power Agency,Tyee Lake,"Wrangell, Petersburg, Ketchikan",NA,NA,Independent Power Producer,Yes,PCE Ineligible,NA,Southeast,Ketchikan Gateway,Sealaska,SE,NA,NA,NA,NA
Stevens Village Ira Council,Stevens Village,Stevens Village,Not regulated,Active,Public Electric Utility,No,PCE Eligible Inactive,STEVVIC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1410198,66.006388900000005,-149.09083330000001,NA
Takotna Community Assoc Inc,Takotna,Takotna,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,TAKOC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW,1410562,62.9886111,-156.06416669999999,NA
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,TANAEC,Bristol Bay,Lake and Peninsula,Cook Inlet,SW,1408208,60.202500000000001,-154.31277779999999,NA
Tanana Power Company Inc,Tanana,Tanana,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,TPC,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1410629,65.171944400000001,-152.07888890000001,NA
Tatitlek Village Ira Council,Tatitlek,Tatitlek,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,TATIVIC,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC,1415193,60.864722200000003,-146.67861110000001,NA
TDX Adak Generating LLC,Adak,Adak,Regulated,Active,Public Electric Utility,No,PCE Eligible Active,TDXA,Aleutians,Aleutians West (CA),Aleut,SW,1418109,51.88,-176.65805560000001,NA
TDX Corporation,Sand Point,Sand Point,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,TDXC,Aleutians,Aleutians East,Aleut,SW,1419182,55.339722199999997,-160.49722220000001,NA
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,Regulated,Active,Private Electric Utility,No,PCE Eligible Active,TMG,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1405922,65.001111100000003,-150.63388889999999,NA
TDX North Slope Generating Company,Deadhorse,Deadhorse,Regulated,Active,Public Electric Utility,No,PCE Ineligible,NA,North Slope,Northwest Arctic,NANA,SC,1866941,70.205555599999997,-148.51166670000001,NA
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,TENAS,Southeast,Hoonah-Angoon (CA),Sealaska,SE,1415210,57.780833299999998,-135.2188889,NA
Tuluksak Traditional,Tuluksak,Tuluksak,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Active,TULUTPU,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1411295,61.102499999999999,-160.96166669999999,NA
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,"Regulated, rate exemption",Active,Electric Co-op,No,PCE Eligible Active,TUNTCSA,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1411324,60.3430556,-162.66305560000001,NA
Twin Hills Village Council,Twin Hills,Twin Hills,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,TWINHVC,Bristol Bay,Dillingham (CA),Bristol Bay,SW,1416737,59.079166700000002,-160.27500000000001,NA
Umnak Power Company,Nikolski,Nikolski,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,UMNAP,Aleutians,Aleutians West (CA),Aleut,SW,1418954,52.938055599999998,-168.8677778,NA
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,Regulated,Active,Electric Co-op,No,PCE Eligible Active,UVEC,Bering Straits,Nome (CA),Bering Straits,AN,1411517,63.873055600000001,-160.78805560000001,NA
"Unalaska, City of",Dutch Harbor,Dutch Harbor,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,UNALASKA,Aleutians,Aleutians West (CA),Aleut,SW,1419726,53.889800000000001,-166.54220000000001,NA
"Unalaska, City of",Unalaska Power Module,Unalaska,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,UNALASKA,Aleutians,Aleutians West (CA),Aleut,SW,1419424,53.873611099999998,-166.53666670000001,NA
Ungusraq Power Company,Newtok,Newtok,Not regulated,Active,Private Electric Utility,No,PCE Eligible Active,UNGUPC,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW,1406985,60.942777800000002,-164.62944440000001,NA
Venetie Village Electric,Venetie,Venetie,"Regulated, rate exemption",Active,Private Electric Utility,No,PCE Eligible Inactive,VENEVE,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU,1411644,67.013888899999998,-146.41861109999999,NA
"White Mountain, City of",White Mountain,White Mountain,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,WHITMU,Bering Straits,Nome (CA),Bering Straits,AN,1411989,64.681388900000002,-163.40555560000001,NA
"Wrangell, City of",Wrangell,Wrangell,Not regulated,Active,Public Electric Utility,Yes,PCE Ineligible,WRANGELL,Southeast,Wrangell,Sealaska,SE,1415843,56.470833300000002,-132.37666669999999,NA
Yakutat Power Inc,Yakutat,Yakutat,Not regulated,Active,Public Electric Utility,No,PCE Eligible Active,YAKUP,Southeast,Yakutat,Sealaska,SE,1415858,59.546944400000001,-139.7272222,NA
