(1) Gross generation minus the parasitic station load (i.e. station use); may be negative if the station service load exceeded the gross electrical generation. This may be the case for stand-by generators. Please note that net generation is not defined as electric power sold.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16
Egegik Light & Power Co,Egegik,Egegik,0,281.745,0,0,281.745,0.505,282.25,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,0,277.4572,0,0,277.4572,20.122799999999998,297.58,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"False Pass, City of",False Pass,False Pass,0,461.351,0,0,461.351,39.195,500.54599999999999,PCE,0,Aleutians,Aleutians East,Aleut,SW
G & K Inc,Cold Bay,Cold Bay,0,2566.9209999999998,0,0,2566.9209999999998,158.48967000000002,2725.4106699999998,PCE,0,Aleutians,Aleutians East,Aleut,SW
"Galena, City of",Galena,Galena,0,2907.3449999999998,0,0,2907.3449999999998,76.578999999999994,2983.924,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Gold Country Energy,Central,Central,0,474.60300000000001,0,0,474.60300000000001,19.251000000000001,493.85399999999998,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Golden Valley Elec Assn Inc,Delta Power,NA,-170,0,0,0,-170,170,0,EIA,0,Railbelt,Fairbanks North Star,Doyon,YU
Golden Valley Elec Assn Inc,Fairbanks,NA,8550,-21,0,0,8529,786,9315,EIA,0,Railbelt,Fairbanks North Star,Doyon,YU
Golden Valley Elec Assn Inc,Healy,NA,178163,25,0,0,178188,17064,195252,EIA,0,Railbelt,Denali,Doyon,YU
Golden Valley Elec Assn Inc,North Pole,NA,486541,0,0,0,486541,15843,502384,EIA,0,Railbelt,Fairbanks North Star,Doyon,YU
Golovin Power Utilities,Golovin,Golovin,0,755.70100000000002,0,0,755.70100000000002,25.998999999999999,781.7,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
Gustavus Electric Co,Falls Creek,Gustavus,0,0,1955,0,1955,NA,NA,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Gustavus Electric Co,Gustavus,Gustavus,0,98.196960000000004,0,0,98.196960000000004,41.488,139.68495999999999,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,0,3061.62,0,0,3061.62,30.38,3092,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Homer Electric Assn Inc,Nikiski Co-Generation,NA,276289,0,0,0,276289,1486,277775,EIA,0,Railbelt,Kenai Peninsula,Cook Inlet,SC
Homer Electric Assn Inc,Seldovia,NA,0,143,0,0,143,NA,NA,EIA,0,Railbelt,Kenai Peninsula,Cook Inlet,SC
Homer Electric Assn Inc,Bradley Lake,NA,0,0,303900,0,303900,NA,NA,EIA,"Generation from Bradley Lake is shared among Chugach, AML&P, HEA, MEA, Seward Electric and GVEA",Railbelt,Anchorage,Cook Inlet,SC
Hughes Power & Light,Hughes,Hughes,0,372.29500000000002,0,0,372.29500000000002,36.365000000000002,408.66,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Igiugig Electric Company,Igiugig,Igiugig,0,307.7185455,0,0,307.7185455,13.513727000000001,321.23227250000002,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"I-N-N Electric Coop, Inc",Newhalen,"Iliamna, Newhalen, Nondalton",0,84.087000000000003,0,0,84.087000000000003,0,84.087000000000003,PCE,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Newhalen's information is included in Nondalton's data.",Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"I-N-N Electric Coop, Inc",Tazimina,"Iliamna, Newhalen, Nondalton",0,0,3566.2379999999998,0,3566.2379999999998,449.22300000000001,4015.4609999999998,PCE,"Power produced at the Tazimina hydroelectric project and the Newhalen plant is shared by Iliamna, Newhalen and Nondalton. Iliamna's information is included in Nondalton's data.",Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Inside Passage Electric,Angoon,Angoon,0,2025.2149999999999,0,0,2025.2149999999999,63.457999999999998,2088.6729999999998,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Chilkat Valley,Chilkat Valley,0,-68.440910000000002,183.54,0,115.09908999999999,68.440909000000005,183.53999899999999,PCE,Provides power to Klukwan via intertie. Power is purchased from AP&T.,Southeast,Haines,Sealaska,SE
Inside Passage Electric,Hoonah,Hoonah,0,4816.875,0,0,4816.875,43.433,4860.308,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Inside Passage Electric,Kake,Kake,0,2769.4879999999998,0,0,2769.4879999999998,61.9,2831.3879999999999,PCE,0,Southeast,Petersburg (CA),Sealaska,SE
Inside Passage Electric,Klukwan,Klukwan,0,0,0,0,0,0,0,PCE,Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T.,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Ipnatchiaq Electric Company,Deering,Deering,0,336.34699999999998,0,0,336.34699999999998,9.7289999999999992,346.07599999999996,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
Ketchikan Public Utilities,Beaver Falls,Ketchikan,0,0,46676,0,46676,229,46905,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Ketchikan,Ketchikan,0,0,22625,0,22625,124,22749,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,S W Bailey,Ketchikan,0,2603,0,0,2603,1941,4544,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Silvis,Ketchikan,0,0,12871,0,12871,68,12939,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
Ketchikan Public Utilities,Swan Lake,"Wrangell, Petersburg, Ketchikan",0,0,90502,0,90502,1082,91584,EIA,0,Southeast,Ketchikan Gateway,Sealaska,SE
"King Cove, City of",King Cove,King Cove,0,1712.346,3102.4639999999999,0,4814.8099999999995,78.450091,4893.2600909999992,PCE,0,Aleutians,Aleutians East,Aleut,SW
Kipnuk Light Plant,Kipnuk,Kipnuk,0,1583.2080000000001,0,0,1583.2080000000001,23.241,1606.4490000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kodiak Electric Assn Inc,Kodiak,Kodiak,0,18214,0,0,18214,1030,19244,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,0,3568,0,0,3568,889,4457,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,0,0,0,12364,12364,84,12448,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Port Lions,Kodiak,0,70,0,0,70,1,71,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kodiak Electric Assn Inc,Terror Lake,Kodiak,0,0,114186,0,114186,932,115118,EIA,0,Kodiak,Kodiak Island,Koniag,SC
Kokhanok Village Council,Kokhanok,Kokhanok,0,406.92200000000003,0,66.448999999999998,473.37100000000004,28.992999999999999,502.36400000000003,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Kotzebue Electric Association,Kotzebue,Kotzebue,0,20300,0,1502.537,21802.537,988.65899999999999,22791.196,PCE,0,Northwest Arctic,Northwest Arctic,NANA,AN
"Koyukuk, City of",Koyukuk,Koyukuk,0,314.14699999999999,0,0,314.14699999999999,19.094999999999999,333.24199999999996,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Kwethluk Incorporated,Kwethluk,Kwethluk,0,1377.5930000000001,0,0,1377.5930000000001,34.332000000000001,1411.9250000000002,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Kwigillingok Power Company,Kwigillingok,Kwigillingok,0,1168.2660000000001,0,0,1168.2660000000001,40.801000000000002,1209.067,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,0,159.17355000000001,342.38499999999999,0,501.55854999999997,21.806172,523.36472199999992,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Levelock Electrical Coop,Levelock,Levelock,0,472.11799999999999,0,0,472.11799999999999,34.540999999999997,506.65899999999999,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Lime Village Electric Utility,Lime Village,Lime Village,0,32.902999999999999,0,0,32.902999999999999,0.89200000000000002,33.795000000000002,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Manokotak Power Company,Manokotak,Manokotak,0,1365.7190000000001,0,0,1365.7190000000001,45.040999999999997,1410.76,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Mcgrath Light & Power,McGrath,McGrath,0,2840.7040000000002,0,0,2840.7040000000002,61.923000000000002,2902.6270000000004,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Metlakatla Power & Light,Centennial,Metlakatla,0,65,0,0,65,121,186,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Metlakatla Power & Light,Chester Lake,Metlakatla,0,0,5129,0,5129,NA,NA,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Metlakatla Power & Light,Purple Lake,Metlakatla,0,0,15040,0,15040,NA,NA,EIA,0,Southeast,Prince of Wales-Hyder (CA),Sealaska,SE
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,0,220.98479999999998,0,0,220.98479999999998,12.117167,233.10196699999997,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,0,302.6524,0,0,302.6524,7.4366000999999997,310.08900010000002,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Red Devil,Red Devil,0,106.4297,0,0,106.4297,2.4900000000000002,108.91969999999999,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Sleetmute,Sleetmute,0,259.13670000000002,0,0,259.13670000000002,16.330272999999998,275.466973,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Middle Kuskokwim Electric,Stony River,Stony River,0,128.072,0,0,128.072,15.175000000000001,143.24700000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naknek Electric Association,Naknek,"Naknek, King Salmon, South Naknek",0,19900,0,0,19900,621.00199999999995,20521.002,PCE,Provides power to South Naknek and King Salmon via intertie. Data includes South Naknek's and King Salmon's information.,Bristol Bay,Bristol Bay,Bristol Bay,SW
Napakiak Ircinraq,Napakiak,Napakiak,0,0,0,0,0,0,0,PCE,Purchases power from Bethel Utilities Corporation,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Napaskiak Electric Utility,Napaskiak,Napaskiak,0,979.45,0,0,979.45,36.451000000000001,1015.9010000000001,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Naterkaq Light Plant,Chefornak,Chefornak,0,1630.624,0,0,1630.624,29.876999999999999,1660.501,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Native Village of Perryville,Perryville,Perryville,0,176.43129999999999,0,15.798999999999999,192.2303,5.9757273,198.20602729999999,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,0,392.2319,0,0,392.2319,5.58,397.81189999999998,PCE,0,Aleutians,Aleutians East,Aleut,SW
New Koliganek Village Council,Koliganek,Koliganek,0,648.44000000000005,0,0,648.44000000000005,21.914999999999999,670.35500000000002,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Nikolai, City of",Nikolai,Nikolai,0,399.21109999999999,0,0,399.21109999999999,17.118908999999999,416.33000899999996,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Nome Joint Utility Systems,Snake River,Nome,0,33500,0,0,33500,1544.691,35044.690999999999,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,0,3599,0,0,3599,206,3805,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Atqasuk,Atqasuk,0,3241,0,0,3241,101,3342,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Kaktovik,Kaktovik,0,4550,0,0,4550,201,4751,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,0,3229,0,0,3229,391,3620,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Hope,Point Hope,0,6153,0,0,6153,378,6531,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Point Lay,Point Lay,0,3085,0,0,3085,345,3430,EIA,0,North Slope,North Slope,Arctic Slope,AN
North Slope Borough Power & Light,Wainwright,Wainwright,0,6258,0,0,6258,324,6582,EIA,0,North Slope,North Slope,Arctic Slope,AN
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,0,829.24900000000002,0,0,829.24900000000002,25.224,854.47300000000007,PCE,0,Lower Yukon-Kuskokwim,Wade Hampton (CA),Calista,YU
Nushagak Electric Cooperative,Dillingham,"Dillingham, Aleknagik",0,18800,0,0,18800,90,18890,PCE,Provides power to Aleknagik via intertie. Data includes Aleknagik's information.,Bristol Bay,Dillingham (CA),Bristol Bay,SW
"Ouzinkie, City of",Ouzinkie,Ouzinkie,0,328.82,0,0,328.82,6.13,334.95,PCE,0,Kodiak,Kodiak Island,Koniag,SC
Pedro Bay Village Council,Pedro Bay,Pedro Bay,0,211.78700000000001,0,0,211.78700000000001,11.718,223.505,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Pelican Utility,Pelican,Pelican,0,798.50199999999995,0,0,798.50199999999995,40.533000000000001,839.03499999999997,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
"Petersburg, City of",Blind Slough,Petersburg,0,618,10803,0,11421,83,11504,EIA,0,Southeast,Petersburg (CA),Sealaska,SE
Pilot Point Electric Utility,Pilot Point,Pilot Point,0,443.084,0,5.5170000000000003,448.601,20.5,469.101,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
"Platinum, City of",Platinum,Platinum,0,0,0,0,0,0,0,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Port Heiden Utilities,Port Heiden,Port Heiden,0,490.07,0,0,490.07,25.917999999999999,515.98799999999994,PCE,0,Bristol Bay,Lake and Peninsula,Bristol Bay,SW
Puvurnaq Power Company,Kongiganak,Kongiganak,0,671.83900000000006,0,44,715.83900000000006,403.06700000000001,1118.9059999999999,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Rampart Village Council,Rampart,Rampart,0,0,0,0,0,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Ruby, City of",Ruby,Ruby,0,732.57640000000004,0,0,732.57640000000004,10.570556,743.14695600000005,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Saint George, City of",Saint George,Saint George,0,420.73200000000003,0,0,420.73200000000003,30.073,450.80500000000001,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Saint Paul Municipal Electric,Saint Paul,Saint Paul,0,4295.9750000000004,0,0,4295.9750000000004,159.185,4455.1600000000008,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
"Seward, City of",Seward,Seward,0,44,0,0,44,NA,NA,EIA,0,Railbelt,Kenai Peninsula,Chugach,SC
"Sitka, City & Borough of",Blue Lake,Sitka,0,0,56154,0,56154,325,56479,EIA,0,Southeast,Sitka,Sealaska,SE
"Sitka, City & Borough of",Green Lake,Sitka,0,0,58996,0,58996,283,59279,EIA,0,Southeast,Sitka,Sealaska,SE
"Sitka, City & Borough of",Jarvis Street,Sitka,0,1386,0,0,1386,1177,2563,EIA,0,Southeast,Sitka,Sealaska,SE
Takotna Community Assoc Inc,Takotna,Takotna,0,194.57050000000001,0,0,194.57050000000001,23.914000000000001,218.48450000000003,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,SW
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,0,648.31299999999999,0,0,648.31299999999999,15.766999999999999,664.08,PCE,0,Bristol Bay,Lake and Peninsula,Cook Inlet,SW
Tanana Power Company Inc,Tanana,Tanana,0,1146.596,0,0,1146.596,33.168999999999997,1179.7650000000001,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
Tatitlek Village Ira Council,Tatitlek,Tatitlek,0,472.20400000000001,0,0,472.20400000000001,44.095999999999997,516.29999999999995,PCE,0,Copper River/Chugach,Valdez-Cordova (CA),Chugach,SC
TDX Adak Generating LLC,Adak,Adak,0,1908.4159999999999,0,0,1908.4159999999999,NA,NA,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
TDX Corporation,Sand Point,Sand Point,0,4313.7950000000001,0,0,4313.7950000000001,143.44,4457.2349999999997,PCE,0,Aleutians,Aleutians East,Aleut,SW
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,0,434.1617,0,0,434.1617,10.619,444.78070000000002,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,0,416.31299999999999,0,0,416.31299999999999,3.3439999999999999,419.65699999999998,PCE,0,Southeast,Hoonah-Angoon (CA),Sealaska,SE
Tuluksak Traditional,Tuluksak,Tuluksak,0,606.72309999999993,0,0,606.72309999999993,44.322000000000003,651.04509999999993,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,0,970.95100000000002,0,0,970.95100000000002,33.058,1004.009,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Twin Hills Village Council,Twin Hills,Twin Hills,0,282.24180000000001,0,0,282.24180000000001,30.246200000000002,312.488,PCE,0,Bristol Bay,Dillingham (CA),Bristol Bay,SW
Umnak Power Company,Nikolski,Nikolski,0,211.643,0,0.66,212.303,24.998999999999999,237.30199999999999,PCE,0,Aleutians,Aleutians West (CA),Aleut,SW
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,0,3497.944,0,921.36699999999996,4419.3109999999997,79.817999999999998,4499.1289999999999,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Unalaska, City of",NA,Unalaska,0,43500,0,0,43500,1234.8869999999999,44734.887000000002,PCE,Includes Unalaska Power Module and Dutch Harbor plants,Aleutians,Aleutians West (CA),Aleut,SW
Ungusraq Power Company,Newtok,Newtok,0,426.98399999999998,0,0,426.98399999999998,3.976,430.96,PCE,0,Lower Yukon-Kuskokwim,Bethel (CA),Calista,SW
Venetie Village Electric,Venetie,Venetie,0,0,0,0,0,0,0,PCE,0,Yukon-Koyukuk/Upper Tanana,Yukon-Koyukuk (CA),Doyon,YU
"White Mountain, City of",White Mountain,White Mountain,0,369.21600000000001,0,0,369.21600000000001,12.484,381.7,PCE,0,Bering Straits,Nome (CA),Bering Straits,AN
"Wrangell, City of",Wrangell,Wrangell,0,1374,0,0,1374,645,2019,EIA,0,Southeast,Wrangell,Sealaska,SE
Yakutat Power Inc,Yakutat,Yakutat,0,6511.7089999999998,0,0,6511.7089999999998,170.673,6682.3819999999996,PCE,0,Southeast,Yakutat,Sealaska,SE
