Sales Reporting ID,OPERATOR_AEA Operator ID,EIA operator Number,PCE Reporting ID,EIA Sales reporting frequency,PCE Sales reporting frequency,Reporting Name,OPERATOR_Operator Name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Index Community,GNIS,Latitude,Longitude,AEA energy region,Communities included in reporting,CPCN
SR-81,AEA-040,9188,332050,A,M,"Iliamna, Newhalen, Nondalton","I-N-N Electric Coop, Inc",123-1983,Newhalen_grid,Iliamna,1403763,59.7567965,-154.9110837,Bristol Bay,"Iliamna, Newhalen, Nondalton",407
SR-104,AEA-052,10716,332170,A,M,Larsen Bay,Larsen Bay Utility Company,139-0000,Larsen Bay_grid,Larsen Bay,1405216,57.54,-153.9786111,Kodiak,Larsen Bay,408
SR-97,AEA-078,NA,332510,N/A,M,Kongiganak,Puvurnaq Power Company,176-0000,Kongiganak_grid,Kongiganak,1404934,59.9532731,-162.8951327,Lower Yukon-Kuskokwim,Kongiganak,410
SR-21,AEA-009,4959,331760,A,M,Aniak,Aniak Light & Power,093-0000,Aniak_grid,Aniak,1398286,61.5783333,-159.5222222,Lower Yukon-Kuskokwim,Aniak,412
SR-149,AEA-058,12485,332250,A,M,Red Devil,Middle Kuskokwim Electric,146-0000,Red Devil_grid,Red Devil,1408580,61.7611111,-157.3125,Lower Yukon-Kuskokwim,Red Devil,416
SR-166,AEA-058,12485,332260,A,M,Sleetmute,Middle Kuskokwim Electric,147-0000,Sleetmute_grid,Sleetmute,1409747,61.7025,-157.1697222,Lower Yukon-Kuskokwim,Sleetmute,416
SR-169,AEA-058,12485,332270,A,M,Stony River,Middle Kuskokwim Electric,148-0000,Stony River_grid,Stony River,1410241,61.7830556,-156.5880556,Lower Yukon-Kuskokwim,Stony River,416
SR-44,AEA-058,12485,332230,A,M,Chuathbaluk,Middle Kuskokwim Electric,144-0000,Chuathbaluk_grid,Chuathbaluk,1400376,61.5719444,-159.245,Lower Yukon-Kuskokwim,Chuathbaluk,416
SR-51,AEA-058,12485,332240,A,M,Crooked Creek,Middle Kuskokwim Electric,145-0000,Crooked Creek_grid,Crooked Creek,1400824,61.87,-158.1108333,Lower Yukon-Kuskokwim,Crooked Creek,416
SR-10,AEA-117,19277,NA,M,N/A,TDX North Slope Generating Co,TDX North Slope Generating Co,224_0000,Deadhorse_grid,Deadhorse,1866941,70.2055556,-148.5116667,North Slope,Deadhorse,417
SR-28,AEA-014,1651,331800,A,M,"Bethel, Oscarville",Bethel Utilities Corp,034-1988,Bethel_grid,Bethel,1398908,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,"Bethel, Oscarville",420
SR-43,AEA-024,3465,331890,A,M,Chitina,Chitina Electric Inc,105-0000,Chitina_grid,Chitina,1400337,61.5158333,-144.4369444,Copper River/Chugach,Chitina,425
SR-202,AEA-090,56503,332200,A,M,Manley Hot Springs,TDX Manley Generating LLC,188-0000,Manley Hot Springs_grid,Manley Hot Springs,1405922,65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,437
SR-49,AEA-027,40215,331920,A,M,"Cordova, Eyak",Cordova Electric Cooperative,014-1990,Cordova_grid,Cordova,1421215,60.5427778,-145.7575,Copper River/Chugach,"Cordova, Eyak",442
SR-65,AEA-033,6915,331990,A,M,Galena,"Galena, City of",115-0000,Galena_grid,Galena,1402457,64.7333333,-156.9275,Yukon-Koyukuk/Upper Tanana,Galena,446
SR-132,AEA-068,NA,332420,N/A,M,Nunam Iqua,Nunam Iqua Electric Company,167-0000,Nunam Iqua_grid,Nunam Iqua,1409405,62.5336111,-164.8411111,Lower Yukon-Kuskokwim,Nunam Iqua,447
SR-136,AEA-071,14633,332450,A,M,Pedro Bay,Pedro Bay Village Council,171-0000,Pedro Bay_grid,Pedro Bay,1407862,59.7872222,-154.1061111,Bristol Bay,Pedro Bay,520
SR-30,AEA-015,1747,331810,A,M,Birch Creek,Birch Creek Electric Company,098-0000,Birch Creek_grid,Birch Creek,1399049,66.2590355,-145.81901680000001,Yukon-Koyukuk/Upper Tanana,Birch Creek,523
SR-142,AEA-075,NA,332490,N/A,M,Platinum,"Platinum, City of",174-0000,Platinum_grid,Platinum,1408072,59.0130556,-161.8163889,Lower Yukon-Kuskokwim,Platinum,549
SR-117,AEA-060,13211,332290,A,M,Napakiak,Napakiak Ircinraq,034-1988,Bethel_grid,Napakiak,1406829,60.6966667,-161.9519444,Lower Yukon-Kuskokwim,Napakiak,570
SR-152,AEA-082,NA,332550,N/A,M,Saint George,"Saint George, City of",179-0000,Saint George_grid,Saint George,1419161,56.6,-169.5416667,Aleutians,Saint George,586
SR-155,AEA-083,17898,332560,A,M,Saint Paul,Saint Paul Municipal Electric,180-0000,Saint Paul_grid,Saint Paul,1419163,57.1222222,-170.275,Aleutians,Saint Paul,625
SR-113,AEA-005,219,331160,A,M,Mentasta Lake,Alaska Power & Telephone Company,026-2012,Slana_grid,Mentasta Lake,1406241,62.9211111,-143.7691667,Copper River/Chugach,Mentasta Lake,635
SR-119,AEA-005,219,331170,A,M,Naukati Bay,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Naukati Bay,1866964,55.8736111,-133.1847222,Southeast,Naukati Bay,635
SR-129,AEA-005,219,331180,A,M,"Northway, Northway Village, Northway Junction",Alaska Power & Telephone Company,012-0000,Northway_grid,Northway,1407253,62.9616667,-141.9372222,Yukon-Koyukuk/Upper Tanana,"Northway, Northway Village, Northway Junction",635
SR-164,AEA-005,219,331190,A,M,Skagway,Alaska Power & Telephone Company,032-1998,Haines_grid,Skagway,1414754,59.4583333,-135.3138889,Southeast,Skagway,635
SR-165,AEA-005,219,331195,A,M,Slana,Alaska Power & Telephone Company,026-2010,Slana_grid,Slana,1409698,62.7069444,-143.9611111,Copper River/Chugach,Slana,635
SR-17,AEA-005,219,331050,A,M,"Allakaket, Alatna",Alaska Power & Telephone Company,005-0000,Allakaket_grid,Allakaket,1398129,66.5655556,-152.6455556,Yukon-Koyukuk/Upper Tanana,"Allakaket, Alatna",635
SR-175,AEA-005,219,331200,A,M,Tetlin,Alaska Power & Telephone Company,015-2008,Tok_grid,Tetlin,1410765,63.1350512,-142.5238796,Yukon-Koyukuk/Upper Tanana,Tetlin,635
SR-176,AEA-005,219,331210,A,M,"Thorne Bay, Kasaan",Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Thorne Bay,1669435,55.6877778,-132.5222222,Southeast,"Thorne Bay, Kasaan",635
SR-178,AEA-005,219,331220,A,M,"Tok, Tanacross",Alaska Power & Telephone Company,015-2008,Tok_grid,Tok,1411046,63.3366667,-142.9855556,Yukon-Koyukuk/Upper Tanana,"Tok, Tanacross",635
SR-189,AEA-005,219,331230,A,M,Whale Pass,Alaska Power & Telephone Company,213-0000,Whale_Pass_grid,Whale Pass,1744590,56.1152778,-133.1208333,Southeast,Whale Pass,635
SR-29,AEA-005,219,331060,A,M,"Bettles, Evansville",Alaska Power & Telephone Company,007-0000,Bettles_grid,Bettles,1926949,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,"Bettles, Evansville",635
SR-42,AEA-005,219,331070,A,M,Chistochina,Alaska Power & Telephone Company,026-2010,Slana_grid,Chistochina,1400333,62.5717828,-144.6541704,Copper River/Chugach,Chistochina,635
SR-47,AEA-005,219,331080,A,M,Coffman Cove,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Coffman Cove,1669437,56.0138889,-132.8277778,Southeast,Coffman Cove,635
SR-50,AEA-005,219,331090,A,M,Craig,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Craig,1421260,55.4763889,-133.1483333,Southeast,Craig,635
SR-55,AEA-005,219,331100,A,M,"Dot Lake, Dot Lake Village",Alaska Power & Telephone Company,015-2008,Tok_grid,Dot Lake,1401364,63.6613889,-144.0644444,Yukon-Koyukuk/Upper Tanana,"Dot Lake, Dot Lake Village",635
SR-56,AEA-005,219,331110,A,M,"Eagle, Eagle Village",Alaska Power & Telephone Company,009-0000,Eagle_grid,Eagle,1401499,64.7880556,-141.2,Yukon-Koyukuk/Upper Tanana,"Eagle, Eagle Village",635
SR-70,AEA-036,219,332010,A,M,Gustavus,Alaska Power & Telephone Company,118-0000,Gustavus_grid,Gustavus,1403078,58.4133333,-135.7369444,Southeast,Gustavus,635
SR-71,AEA-005,219,331120,A,M,"Haines, Covenant Life",Alaska Power & Telephone Company,032-1998,Haines_grid,Haines,1422400,59.228589,-135.444114,Southeast,"Haines, Covenant Life",635
SR-72,AEA-005,219,331130,A,M,Healy Lake,Alaska Power & Telephone Company,011-0000,Healy Lake_grid,Healy Lake,2419534,63.9872308,-144.6998325,Yukon-Koyukuk/Upper Tanana,Healy Lake,635
SR-73,AEA-005,219,331140,A,M,Hollis,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Hollis,1866952,55.5566667,-132.6363889,Southeast,Hollis,635
SR-79,AEA-005,219,331150,A,M,Hydaburg,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Hydaburg,1422709,55.2080556,-132.8266667,Southeast,Hydaburg,635
SR-92,AEA-005,219,331155,A,M,Klawock,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Klawock,1423100,55.5522222,-133.0958333,Southeast,Klawock,635
SR-95,AEA-046,10455,332100,A,M,Kokhanok,Kokhanok Village Council,134-0000,Kokhanok_grid,Kokhanok,1404333,59.4394444,-154.7761111,Bristol Bay,Kokhanok,640
SR-48,AEA-034,6866,331980,A,M,Cold Bay,G & K Inc,114-0000,Cold Bay_grid,Cold Bay,1418448,55.1858333,-162.7211111,Aleutians,Cold Bay,658
SR-35,AEA-062,3422,332310,A,M,Chefornak,Naterkaq Light Plant (City of Chefornak),154-0000,Chefornak_grid,Chefornak,1400188,60.16,-164.2658333,Lower Yukon-Kuskokwim,Chefornak,659
SR-102,AEA-050,9832,332150,A,M,Kwethluk,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,137-0000,Kwethluk_grid,Kwethluk,1405119,60.8122222,-161.4358333,Lower Yukon-Kuskokwim,Kwethluk,660
SR-33,AEA-139,56739,331830,A,M,Central,Gold Country Energy,116-0000,Central_grid,Central,1400106,65.5725,-144.8030556,Yukon-Koyukuk/Upper Tanana,Central,661
SR-174,AEA-092,18541,332630,A,M,Tenakee Springs,"Tenakee Springs, City of",189-0000,Tenakee Springs_grid,Tenakee Springs,1415210,57.7808333,-135.2188889,Southeast,Tenakee Springs,662
SR-32,AEA-016,NA,331820,N/A,M,Buckland,"Buckland, City of",099-0000,Buckland_grid,Buckland,1412684,65.9797222,-161.1230556,Northwest Arctic,Buckland,664
SR-20,AEA-041,18963,332650,A,M,Angoon,Inside Passage Electric,125-0000,Angoon_grid,Angoon,1420113,57.5033333,-134.5838889,Southeast,Angoon,681
SR-41,AEA-041,18963,332660,A,M,Chilkat Valley,Inside Passage Electric,032-1998,Haines_grid,Chilkat Valley,1421022,59.399702,-135.8964089,Southeast,Chilkat Valley,681
SR-75,AEA-041,18963,332670,A,M,Hoonah,Inside Passage Electric,128-0000,Hoonah_grid,Hoonah,1403488,58.11,-135.4436111,Southeast,Hoonah,681
SR-82,AEA-041,18963,332680,A,M,Kake,Inside Passage Electric,129-0000,Kake_grid,Kake,1422926,56.9758333,-133.9472222,Southeast,Kake,681
SR-93,AEA-041,18963,332700,A,M,Klukwan,Inside Passage Electric,032-1998,Haines_grid,Klukwan,1866956,59.4038889,-135.8844444,Southeast,Klukwan,681
SR-173,AEA-091,18521,331685,A,M,Teller,Teller Power Company,085-0000,Teller_grid,Teller,1410730,65.2636111,-166.3608333,Bering Straits,Teller,682
SR-173,AEA-091,18521,332620,A,M,Teller,Teller Power Company,085-0000,Teller_grid,Teller,1410730,65.2636111,-166.3608333,Bering Straits,Teller,682
SR-7,AEA-106,10433,NA,M,N/A,Kodiak Electric Assn Inc,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,Kodiak,1404875,57.79,-152.4072222,Kodiak,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island.",683
SR-11,AEA-088,NA,331005,N/A,M,Adak,TDX Adak Generating LLC,186-0000,Adak_grid,Adak,1418109,51.88,-176.6580556,Aleutians,Adak,684
SR-13,AEA-003,192,331020,A,M,Akiachak,Akiachak Native Community,002-0000,Akiachak_grid,Akiachak,1398011,60.9094444,-161.4313889,Lower Yukon-Kuskokwim,Akiachak,684
SR-64,AEA-037,7833,332020,A,M,Fort Yukon,Gwitchyaa Zhee Utilities Company,119-0000,Fort Yukon_grid,Fort Yukon,1402276,66.5647222,-145.2738889,Yukon-Koyukuk/Upper Tanana,Fort Yukon,686
SR-59,AEA-030,NA,331950,N/A,M,Ekwok,City of Ekwok,065-2016,New_Stuyahok_grid,Ekwok,1401738,59.3497222,-157.4752778,Bristol Bay,Ekwok,688
SR-127,AEA-066,13642,332340,A,M,Nome,Nome Joint Utility Systems,159-0000,Nome_grid,Nome,1407125,64.5011111,-165.4063889,Bering Straits,Nome,701
SR-170,AEA-084,NA,332580,N/A,M,Takotna,Takotna Community Assoc Inc,182-0000,Takotna_grid,Takotna,1410562,62.9886111,-156.0641667,Yukon-Koyukuk/Upper Tanana,Takotna,709
SR-180,AEA-093,NA,332710,N/A,M,Tuluksak,Tuluksak Traditional,190-0000,Tuluksak_grid,Tuluksak,1411295,61.1025,-160.9616667,Lower Yukon-Kuskokwim,Tuluksak,720
SR-101,AEA-049,NA,332140,N/A,M,Koyukuk,"Koyukuk, City of",136-0000,Koyukuk_grid,Koyukuk,1404984,64.8802778,-157.7008333,Yukon-Koyukuk/Upper Tanana,Koyukuk,724
SR-86,AEA-007,NA,331740,N/A,M,Karluk,Alutiiq Power Company,092-0000,Karluk_grid,Karluk,1404456,57.5719444,-154.4555556,Kodiak,Karluk,726
SR-63,AEA-032,NA,331970,N/A,M,False Pass,"False Pass, City of",113-0000,False Pass_grid,False Pass,1418574,54.8508333,-163.415,Aleutians,False Pass,729
SR-195,AEA-108,12385,NA,A,M,Metlakatla Power & Light,Metlakatla Power & Light,225_0000,Metlakatla_grid,Metlakatla,1423661,55.1291667,-131.5722222,Southeast,Metlakatla,735
SR-12,AEA-001,NA,331010,N/A,M,Akhiok,"Akhiok, City of",001-0000,Akhiok_grid,Akhiok,1398007,56.9455556,-154.1702778,Kodiak,Akhiok,741
SR-96,AEA-064,NA,332110,N/A,M,Koliganek,New Koliganek Village Council,157-0000,Koliganek_grid,Koliganek,1404914,59.7286111,-157.2844444,Bristol Bay,Koliganek,742
SR-116,AEA-059,13201,332280,A,M,"Naknek, South Naknek, King Salmon",Naknek Electric Association,150-0000,Naknek_grid,Naknek,1406798,58.7283333,-157.0138889,Bristol Bay,"Naknek, South Naknek, King Salmon",747
SR-67,AEA-035,NA,332000,N/A,M,Golovin,Golovin Power Utilities,117-0000,Golovin_grid,Golovin,1402760,64.5433333,-163.0291667,Bering Straits,Golovin,765
SR-53,AEA-069,13870,332430,A,M,"Dillingham, Aleknagik",Nushagak Electric Cooperative,169-0000,Dillingham_grid,Dillingham,1401203,59.0397222,-158.4575,Bristol Bay,"Dillingham, Aleknagik",767
SR-176,AEA-172,18877,331210,A,NA,"Thorne Bay, City of","Thorne Bay, City of",NA,ThorneBay_grid,Thorne Bay,1669435,55.6877778,-132.5222222,Southeast,Thorne Bay,NA
SR-197,AEA-171,409,NA,A,N/A,"Arctic Utilities, Inc",TNSG,224_0000,Deadhorse_grid,Deadhorse,1866941,70.2055556,-148.5116667,North Slope,Deadhorse,NA
SR-201,AEA-120,22199,NA,A,NA,U S Air Force-Eielson AFB,NA,215-1985,Railbelt_grid,Eielson AFB,2418568,64.6632652,-147.05442,Railbelt,U S Air Force-Eielson AFB,NA
